respondent_id,campus,studyfield,branch,role,edulevel,proglang,databases,platform,webframework,industry,allsearch,aitool,employment
35,Durban,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies","Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;PHP;SQL,BigQuery;MariaDB;MongoDB;MySQL,Cloudflare;Google Cloud,none,Oil & Gas,ChatGPT,GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
37,Durban,Data Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,C#;HTML/CSS;JavaScript;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;SQLite,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Blazor;jQuery,Financial Services,ChatGPT;Google Bard AI,Rubber Duck.AI,"Employed, full-time"
39,Durban,IT,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;Java;JavaScript;Kotlin;PowerShell;Python;TypeScript,MariaDB;MySQL;Redis,Digital Ocean;Microsoft Azure,ASP.NET CORE;Flask;Next.js;React,Insurance,none,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
42,Durban,Computer Science,I am a developer by profession,"Developer, front-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",HTML/CSS;JavaScript;PHP;TypeScript,MySQL;Supabase,Netlify;Vercel,jQuery;Node.js;Nuxt.js;React;Vue.js;WordPress,Oil & Gas,ChatGPT,Codeium;GitHub Copilot,"Employed, full-time"
47,Midrand Campus,Data Science,I am learning to code,unknown,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript,MongoDB;MySQL,Firebase;Google Cloud;Microsoft Azure;Netlify;Vercel;VMware,Angular;AngularJS;Blazor;Express;Next.js;Node.js;Remix;Svelte;Vue.js;WordPress,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Rubber Duck.AI,"Student, full-time"
48,Durban,Computer Science,I code primarily as a hobby,Research & Development role,Some college/university study without earning a degree,HTML/CSS;JavaScript;Kotlin;PHP,H2;MariaDB;MySQL,none,none,Other,none,GitHub Copilot;Replit Ghostwriter,"Independent contractor, freelancer, or self-employed"
51,Durban,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Other (please specify):,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);Perl;Python,none,none,none,Insurance,none,Codeium;Replit Ghostwriter,"Employed, full-time"
53,Nelson Mandela Bay Campus,Computer Science,I am learning to code,unknown,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C++;HTML/CSS;JavaScript;PHP;Python;SQL,MariaDB,none,Flask,Other,ChatGPT;WolframAlpha,AWS CodeWhisperer;GitHub Copilot,"Student, full-time"
55,Durban,Computer Science,I am a developer by profession,"Developer, mobile","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;JavaScript;Kotlin;SQL;TypeScript,Firebase Realtime Database;Microsoft SQL Server;SQLite,none,Node.js;React;Spring Boot,Healthcare,ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
59,Durban,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Student,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Java;Julia;Python;Zig,none,none,none,Oil & Gas,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Not employed, but looking for work"
59,Durban,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Student,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C;C++;Java;Julia;Python;Zig,none,none,none,Oil & Gas,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Mintlify;Tabnine,"Student, full-time"
60,Durban,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript;TypeScript,MongoDB,Amazon Web Services (AWS);Google Cloud,Angular;Node.js,Retail and Consumer Services,ChatGPT,Adrenaline;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
61,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Python;SQL,Elasticsearch;InfluxDB;MongoDB;PostgreSQL;Redis,Digital Ocean,FastAPI,Oil & Gas,none,Adrenaline;Synk Code;Whispr AI,"Employed, full-time"
64,Durban,Computer Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Java,Cosmos DB;Dynamodb;MongoDB;MySQL,Amazon Web Services (AWS);Microsoft Azure,none,Advertising Services,none,Adrenaline;AWS CodeWhisperer,"Employed, full-time"
66,Durban,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;PowerShell;SQL;TypeScript,Microsoft SQL Server,none,ASP.NET CORE,"Information Services, IT, Software Development, or other Technology",none,Codeium;Synk Code;Whispr AI,"Employed, full-time"
67,Durban,Data Science,I am a developer by profession,"Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Java;Scala;SQL,BigQuery;MariaDB;MongoDB;MySQL;PostgreSQL,Amazon Web Services (AWS);Google Cloud,none,"Information Services, IT, Software Development, or other Technology",none,GitHub Copilot,"Employed, full-time"
81,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,Academic researcher,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;C++;HTML/CSS;JavaScript;MATLAB;R,Microsoft SQL Server,none,ASP.NET,Advertising Services,ChatGPT,Codeium;GitHub Copilot;Tabnine,"Employed, full-time"
84,Durban,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;Python;SQL;TypeScript,Cloud Firestore;Elasticsearch;MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Cloudflare;Digital Ocean;Heroku,Express;NestJS;Node.js,Legal Services,none,AWS CodeWhisperer;Tabnine,"Independent contractor, freelancer, or self-employed"
85,Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",HTML/CSS;JavaScript;Python;Ruby;SQL,MongoDB;PostgreSQL;Redis,Amazon Web Services (AWS);Heroku,jQuery;Ruby on Rails;Vue.js,Advertising Services,none,Adrenaline;AWS CodeWhisperer;Codeium;Mintlify;Rubber Duck.AI;Synk Code;Tabnine,"Independent contractor, freelancer, or self-employed"
95,Nelson Mandela Bay Campus,Computer Science,I code primarily as a hobby,unknown,Something else,Java;JavaScript;Kotlin;Lua;PHP;Python,SQLite,Digital Ocean,Django;Flask,"Manufacturing, Transportation, or Supply Chain",ChatGPT;WolframAlpha,Mintlify;Synk Code,I prefer not to say
97,Durban,Data Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;Python;SQL;TypeScript,Elasticsearch;H2;MongoDB;MySQL;PostgreSQL;Redis;SQLite,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure,Angular;AngularJS;Express;Laravel;Node.js;Spring Boot,Advertising Services,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;Tabnine;Whispr AI,"Employed, full-time"
98,Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,HTML/CSS;Java;JavaScript;SQL,H2;MariaDB,none,Node.js;Spring Boot,"Manufacturing, Transportation, or Supply Chain",none,Adrenaline;AWS CodeWhisperer;GitHub Copilot;Replit Ghostwriter;Whispr AI,"Employed, full-time"
100,Durban,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Firebase;Google Cloud;Managed Hosting,Django;Express;FastAPI;Fastify;Flask;jQuery;Laravel;Node.js;WordPress,Advertising Services,Bing AI;ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, full-time"
100,Durban,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Firebase;Google Cloud;Managed Hosting,Django;Express;FastAPI;Fastify;Flask;jQuery;Laravel;Node.js;WordPress,Advertising Services,Bing AI;ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Independent contractor, freelancer, or self-employed"
100,Durban,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Dart;Go;HTML/CSS;Java;JavaScript;PHP;Python;SQL,Cloud Firestore;Firebase Realtime Database;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis;SQLite,Firebase;Google Cloud;Managed Hosting,Django;Express;FastAPI;Fastify;Flask;jQuery;Laravel;Node.js;WordPress,Advertising Services,Bing AI;ChatGPT,Adrenaline;GitHub Copilot;Rubber Duck.AI,"Employed, part-time"
101,Midrand Campus,Data Science,I am a developer by profession,Database administrator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Groovy;HTML/CSS;Java;JavaScript;SQL,none,Amazon Web Services (AWS),Angular;jQuery;WordPress,Healthcare,ChatGPT,AWS CodeWhisperer;Rubber Duck.AI,"Employed, full-time"
102,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, embedded applications or devices",Some college/university study without earning a degree,C;C#;Rust,none,none,none,Higher Education,none,AWS CodeWhisperer;Replit Ghostwriter,"Employed, full-time"
103,Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;VMware,Angular;jQuery;Node.js;React;WordPress,Other,ChatGPT,AWS CodeWhisperer;Synk Code,"Employed, full-time"
103,Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Elasticsearch;MariaDB;MongoDB;MySQL;Redis,Amazon Web Services (AWS);Cloudflare;Microsoft Azure;VMware,Angular;jQuery;Node.js;React;WordPress,Other,ChatGPT,AWS CodeWhisperer;Synk Code,"Independent contractor, freelancer, or self-employed"
108,Durban,IT,I am a developer by profession,"Developer, full-stack",Some college/university study without earning a degree,Bash/Shell (all shells);C;HTML/CSS;JavaScript;TypeScript,Elasticsearch;PostgreSQL;Redis,Amazon Web Services (AWS),Angular;NestJS;Node.js,Insurance,none,Adrenaline;AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
109,Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;Python;SQL,Microsoft SQL Server,Microsoft Azure,ASP.NET CORE;Blazor,Advertising Services,none,AWS CodeWhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, full-time"
111,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;Python;TypeScript,Firebase Realtime Database;MongoDB,none,Angular;AngularJS;Node.js;Vue.js,Oil & Gas,Bing AI;ChatGPT;Google Bard AI;WolframAlpha;You.com,AWS CodeWhisperer;Codeium;GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
115,Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;R;SQL;Visual Basic (.Net),MariaDB;Microsoft SQL Server;MongoDB;MySQL,Google Cloud;Heroku;Microsoft Azure;Netlify;VMware,ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js;WordPress,Insurance,ChatGPT,GitHub Copilot;Mintlify,"Employed, full-time"
115,Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;R;SQL;Visual Basic (.Net),MariaDB;Microsoft SQL Server;MongoDB;MySQL,Google Cloud;Heroku;Microsoft Azure;Netlify;VMware,ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js;WordPress,Insurance,ChatGPT,GitHub Copilot;Mintlify,"Independent contractor, freelancer, or self-employed"
115,Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Java;JavaScript;Lua;PHP;PowerShell;R;SQL;Visual Basic (.Net),MariaDB;Microsoft SQL Server;MongoDB;MySQL,Google Cloud;Heroku;Microsoft Azure;Netlify;VMware,ASP.NET;ASP.NET CORE;Express;Node.js;Vue.js;WordPress,Insurance,ChatGPT,GitHub Copilot;Mintlify,"Student, part-time"
120,Durban,IT,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",Bash/Shell (all shells);C#;Go;HTML/CSS;Java;JavaScript;PowerShell;Python;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,none,ASP.NET CORE;jQuery;Node.js;Vue.js,Higher Education,ChatGPT,Codeium;Replit Ghostwriter,"Employed, full-time"
123,Durban,Data Science,I am a developer by profession,"Developer, back-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;Java;JavaScript;Kotlin;SQL;TypeScript,Firebase Realtime Database;H2;IBM DB2;Oracle;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku;Oracle Cloud Infrastructure (OCI),Express;Node.js;React;Spring Boot,Oil & Gas,none,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
131,Midrand Campus,Data Science,I am a developer by profession,"Developer, desktop or enterprise applications","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C#;PowerShell;Visual Basic (.Net),MariaDB;MongoDB;MySQL,Netlify;Vercel,ASP.NET CORE;NestJS;Next.js;Node.js;React,"Information Services, IT, Software Development, or other Technology",none,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
132,Durban,Data Science,"I used to be a developer by profession, but no longer am","Developer, game or graphics","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C;C++;Lua;Python;Rust;Zig,none,none,none,Healthcare,none,Tabnine,"Independent contractor, freelancer, or self-employed"
133,Durban,Computer Science,I am a developer by profession,"Engineer, data","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;JavaScript;Python;SQL,Microsoft Access,VMware,none,Advertising Services,ChatGPT,AWS CodeWhisperer;Mintlify,"Employed, full-time"
134,Durban,Computer Science,I am a developer by profession,"Senior Executive (C-Suite, VP, etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;Go;Groovy;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,Cockroachdb;Cosmos DB;Elasticsearch;MariaDB;MySQL;Oracle;PostgreSQL;Redis,Digital Ocean;Microsoft Azure,Angular;AngularJS;Spring Boot;Vue.js;WordPress,Insurance,Bing AI;ChatGPT,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
135,Midrand Campus,Computer Science,I code primarily as a hobby,Student,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);C;C#;C++;HTML/CSS;Python,MySQL,Amazon Web Services (AWS),Node.js;WordPress,Retail and Consumer Services,ChatGPT,GitHub Copilot;Synk Code;Whispr AI,"Independent contractor, freelancer, or self-employed"
138,Durban,IT,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Data or business analyst,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Python;R;SQL,BigQuery;Snowflake,none,none,Wholesale,ChatGPT;Google Bard AI,Adrenaline;GitHub Copilot,"Employed, full-time"
139,Durban,Computer Science,I am a developer by profession,"Developer, full-stack",Something else,C#;Crystal;HTML/CSS;SQL;Visual Basic (.Net),Microsoft Access;Microsoft SQL Server;SQLite,Microsoft Azure,ASP.NET CORE,Other,none,Codeium;Tabnine,"Independent contractor, freelancer, or self-employed"
142,Midrand Campus,Data Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",System administrator,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",C#;Go;Java;Python,MariaDB;PostgreSQL;SQLite,VMware,ASP.NET CORE;WordPress,Wholesale,WolframAlpha,Codeium;Replit Ghostwriter,"Employed, part-time"
152,Durban,IT,I am a developer by profession,"Developer, back-end",Something else,Java,MySQL;Solr,Amazon Web Services (AWS),React;Spring Boot,Wholesale,none,Adrenaline;Codeium;GitHub Copilot,"Independent contractor, freelancer, or self-employed"
153,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel,Express;Node.js,Other,ChatGPT,Mintlify,"Employed, full-time"
153,Nelson Mandela Bay Campus,Data Science,I am a developer by profession,"Developer, back-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Netlify;Vercel,Express;Node.js,Other,ChatGPT,Mintlify,"Independent contractor, freelancer, or self-employed"
157,Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",JavaScript,MySQL,Microsoft Azure,Express;Node.js;React,"Manufacturing, Transportation, or Supply Chain",ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, part-time"
163,Durban,IT,I am a developer by profession,"Developer, full-stack","Associate degree (A.A., A.S., etc.)",C#;JavaScript;SQL;Visual Basic (.Net),IBM DB2;Microsoft SQL Server,none,ASP.NET CORE,Oil & Gas,none,Mintlify,"Employed, full-time"
166,Midrand Campus,Data Science,I am a developer by profession,"Developer, full-stack","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);C#;C++;HTML/CSS;JavaScript;Lua;PowerShell;Python;SQL;VBA,Microsoft SQL Server;SQLite,none,Node.js;React,"Information Services, IT, Software Development, or other Technology",none,Adrenaline;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.AI;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
167,Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Cosmos DB;Microsoft SQL Server,Microsoft Azure,Angular;ASP.NET;ASP.NET CORE;Node.js,"Information Services, IT, Software Development, or other Technology",none,GitHub Copilot;Mintlify,"Employed, full-time"
176,Durban,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",Cloud infrastructure engineer,Primary/elementary school,HTML/CSS;JavaScript;PHP;Python,MongoDB;MySQL;PostgreSQL;SQLite,Hetzner,AngularJS;Express;Node.js;Vue.js,Advertising Services,none,Adrenaline;GitHub Copilot;Rubber Duck.AI;Tabnine,"Employed, full-time"
178,Midrand Campus,Data Science,I am a developer by profession,"Developer, mobile","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Objective-C,SQLite,none,none,"Manufacturing, Transportation, or Supply Chain",none,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time"
181,Nelson Mandela Bay Campus,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;TypeScript,Dynamodb;PostgreSQL,Amazon Web Services (AWS);Digital Ocean;Google Cloud,Express;Node.js;Nuxt.js;React;Vue.js,Insurance,none,GitHub Copilot;Synk Code;Tabnine,"Employed, full-time"
182,Nelson Mandela Bay Campus,IT,I am a developer by profession,Research & Development role,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);PowerShell;Python,MongoDB;Neo4J,none,FastAPI,Higher Education,none,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Employed, full-time"
182,Nelson Mandela Bay Campus,IT,I am a developer by profession,Research & Development role,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Bash/Shell (all shells);PowerShell;Python,MongoDB;Neo4J,none,FastAPI,Higher Education,none,AWS CodeWhisperer;GitHub Copilot;Mintlify,"Student, full-time"
190,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,Data scientist or machine learning specialist,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Bash/Shell (all shells);C#;HTML/CSS;MATLAB;Python;R;SQL,Microsoft SQL Server;MySQL;Oracle;PostgreSQL,Amazon Web Services (AWS);Google Cloud;Microsoft Azure;VMware,FastAPI,Advertising Services,ChatGPT,AWS CodeWhisperer;Codeium;GitHub Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr AI,"Employed, full-time"
192,Durban,Data Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,Microsoft SQL Server;MySQL,none,Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress,Retail and Consumer Services,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Employed, full-time"
192,Durban,Data Science,I am a developer by profession,"Developer, full-stack","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL,Microsoft SQL Server;MySQL,none,Angular;ASP.NET;ASP.NET CORE;jQuery;Node.js;WordPress,Retail and Consumer Services,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Student, full-time"
